,name,version,software_id
0,dom4j:dom4j,1.4-dev-3,18
1,org.apache.poi:poi,3.15,22
2,com.netflix.conductor:conductor-core,1.7.7,34
3,com.fasterxml.jackson.core:jackson-databind,2.8.0.rc1,53
4,org.apache.tomcat.embed:tomcat-embed-core,8.0.28,24
5,org.apache.tomcat.embed:tomcat-embed-core,8.0.29,24
6,org.apache.tomcat.embed:tomcat-embed-core,8.0.26,24
7,org.apache.tomcat.embed:tomcat-embed-core,8.0.32,24
8,com.caverock:androidsvg,1.0.170,75
9,io.undertow:undertow-core,1.4.9.Final,47
10,com.fasterxml.jackson.dataformat:jackson-dataformat-xml,2.3.0-rc1,85
11,cn.hutool:hutool-core,4.1.11,80
12,commons-collections:commons-collections,2.0.20020914.015953,103
13,com.h2database:h2,1.2.120,93
14,com.h2database:h2,1.2.128,93
15,com.h2database:h2,1.2.126,93
16,com.h2database:h2,1.1.113,93
17,com.h2database:h2,1.0.58,93
18,com.h2database:h2,1.0.59,93
19,com.h2database:h2,1.3.174,93
20,com.h2database:h2,1.3.175,93
21,com.h2database:h2,1.1.106,93
22,com.h2database:h2,1.3.176,93
23,io.swagger:swagger-codegen,2.1.1,110
24,net.bull.javamelody:javamelody-core,1.8.1,116
25,org.codehaus.jackson:jackson-mapper-asl,1.8.8,159
26,org.codehaus.jackson:jackson-mapper-asl,1.5.3,159
27,org.codehaus.jackson:jackson-mapper-asl,0.9.9-2,159
28,org.codehaus.jackson:jackson-mapper-asl,1.7.5,159
29,org.codehaus.jackson:jackson-mapper-asl,1.9.9,159
30,org.codehaus.jackson:jackson-mapper-asl,1.4.2,159
31,org.springframework:spring-core,2.5.4,38
32,org.springframework:spring-core,2.5.2,38
33,org.springframework:spring-core,1.1.4,38
34,org.springframework:spring-core,1.2,38
35,org.springframework.cloud:spring-cloud-netflix-hystrix-dashboard,1.0.7.RELEASE,191
36,io.vertx:vertx-web,3.3.0.CR1,291
37,com.orientechnologies:orientdb-core,1.0.1,239
38,net.sf.mpxj:mpxj,5.7.1,296
39,net.sf.mpxj:mpxj,6.0.0,296
40,net.sf.mpxj:mpxj,5.1.0,296
41,net.sf.mpxj:mpxj,5.9.0,296
42,net.sf.mpxj:mpxj,6.1.2,296
43,org.apache.james:james-server,3.0-M1,323
44,org.apache.ranger:ranger,1.1.0,338
45,org.apache.tomcat:tomcat,8.0.8,24
46,org.apache.tomcat:tomcat,8.0.15,24
47,org.apache.tomcat:tomcat,8.0.12,24
48,org.apache.tomcat:tomcat,8.0.43,24
49,org.apache.zeppelin:zeppelin,0.5.0-incubating,357
50,org.apache.wicket:wicket-core,1.5-RC5.1,353
51,org.http4s:http4s-server_2.13.0-M5,0.20.5,388
52,org.http4s:http4s-server_2.13,0.22-53-01128f5,388
53,org.http4s:http4s-server_2.12,0.22-143-49b5a8d,388
54,org.sonatype.nexus:nexus-extdirect,3.20.0-02,597
55,org.sonatype.nexus:nexus-core,2.11.0-01,597
56,org.sonatype.nexus:nexus-core,2.7.0-m3,597
57,org.sonatype.nexus:nexus-core,2.7.0-m4,597
58,org.sonatype.nexus:nexus-core,2.7.0-m1,597
59,org.sonatype.nexus:nexus-core,2.5.0-01,597
60,org.sonatype.nexus:nexus-core,2.9.1-02,597
61,org.sonatype.nexus:nexus-core,2.7.2-01,597
62,org.sonatype.nexus:nexus-core,2.11.2-04,597
63,org.quartz-scheduler:quartz,1.7.3,592
64,cn.hutool:hutool-all,4.1.4,80
65,cn.hutool:hutool-all,4.0.4,80
66,com.googlecode.aviator:aviator,1.0.1,2429
67,com.alibaba.nacos:nacos-common,1.1.1,71
68,org.jodd:jodd-all,4.1.3,2390
69,org.codehaus.jackson:jackson-mapper-asl,1.9.13,159
70,net.minidev:json-smart,2.4.2,2043
71,com.vaadin:flow-server,2.1.0.beta2,9760
72,edu.stanford.nlp:stanford-corenlp,1.2.0,10517
73,org.jdom:jdom,1.1,10549
74,ch.qos.logback:logback-classic,0.9.7,10567
75,ch.qos.logback:logback-core,0.9.5,10567
76,com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer,20160203.1,10658
77,com.alibaba:fastjson,1.2.4.sec10,13010
78,com.alibaba:fastjson,1.1.31.sec06,13010
79,com.alibaba:fastjson,1.1.29,13010
80,com.alibaba:fastjson,1.2.7.sec06,13010
81,com.alibaba:fastjson,1.1.34.sec04,13010
